,Strain $\epsilon$ /-,Stress $\sigma$ /MPa
0,0.0,0.0
1,0.0008333333333333333,0.0025000000000000022
2,0.0016666666666666666,0.015000000000000013
3,0.0025,0.0025000000000000022
4,0.003333333333333333,0.007500000000000007
5,0.004166666666666667,0.017500000000000016
6,0.005,0.02749999999999999
7,0.005833333333333334,0.015000000000000013
8,0.006666666666666666,0.017500000000000016
9,0.0075,0.0050000000000000044
10,0.008333333333333333,0.02749999999999999
11,0.009166666666666667,0.024999999999999988
12,0.01,0.017500000000000016
13,0.010833333333333334,0.0050000000000000044
14,0.011666666666666667,0.029999999999999992
15,0.0125,0.032499999999999994
16,0.013333333333333332,0.032499999999999994
17,0.014166666666666666,0.017500000000000016
18,0.015,0.04
19,0.01583333333333333,0.0425
20,0.016666666666666666,0.034999999999999996
21,0.017499999999999998,0.022499999999999985
22,0.018333333333333333,0.04
23,0.019166666666666665,0.045000000000000005
24,0.02,0.032499999999999994
25,0.020833333333333336,0.034999999999999996
26,0.021666666666666667,0.04
27,0.0225,0.055000000000000014
28,0.023333333333333334,0.034999999999999996
29,0.024166666666666666,0.0375
30,0.025,0.0375
31,0.02583333333333333,0.057500000000000016
32,0.026666666666666665,0.055000000000000014
33,0.027500000000000004,0.05250000000000001
34,0.028333333333333332,0.04
35,0.029166666666666667,0.059999999999999984
36,0.03,0.059999999999999984
37,0.030833333333333334,0.055000000000000014
38,0.03166666666666666,0.0425
39,0.0325,0.06999999999999999
40,0.03333333333333333,0.06999999999999999
41,0.034166666666666665,0.06749999999999999
42,0.034999999999999996,0.057500000000000016
43,0.035833333333333335,0.06749999999999999
44,0.03666666666666667,0.075
45,0.0375,0.062499999999999986
46,0.03833333333333333,0.06999999999999999
47,0.03916666666666667,0.06999999999999999
48,0.04,0.0775
49,0.04083333333333333,0.06749999999999999
50,0.04166666666666667,0.06999999999999999
51,0.042499999999999996,0.059999999999999984
52,0.043333333333333335,0.085
53,0.04416666666666667,0.08
54,0.045,0.08750000000000001
55,0.04583333333333333,0.06749999999999999
56,0.04666666666666667,0.09000000000000001
57,0.0475,0.09250000000000001
58,0.04833333333333333,0.09500000000000001
59,0.049166666666666664,0.08
60,0.05,0.09750000000000002
61,0.05083333333333333,0.09500000000000001
62,0.05166666666666666,0.085
63,0.052500000000000005,0.09250000000000001
64,0.05333333333333333,0.09000000000000001
65,0.05416666666666666,0.09999999999999998
66,0.05500000000000001,0.08750000000000001
67,0.05583333333333333,0.09250000000000001
68,0.056666666666666664,0.09000000000000001
69,0.057499999999999996,0.10499999999999998
70,0.058333333333333334,0.10499999999999998
71,0.059166666666666666,0.10499999999999998
72,0.06,0.09000000000000001
73,0.06083333333333333,0.11499999999999999
